#,id,users_id,workout_datetime,L_max_speed,R_max_speed,L_max_force,R_max_force,L_avr_speed,R_avr_speed,L_avr_force,R_avr_force,weight_value,speed_value,set_seq,reps,workouttime,breaktime,workouttype_code
1,758,100000344,1593744610,1003.00,1003.00,0.00,0.00,562.95,562.72,10.13,9.98,10.00,0.00,1,20,58,19,2
2,759,100000344,1593744683,0.00,0.00,14.55,15.29,0.00,0.00,10.56,10.89,20.00,40.00,1,15,66,28,2
3,760,100000344,1593744814,0.00,0.00,17.32,16.97,0.00,0.00,12.23,12.39,20.00,40.00,2,12,196,99,2
4,761,100000344,1593744895,0.00,0.00,15.81,15.25,0.00,0.00,11.51,11.66,20.00,40.00,3,12,278,54,2
5,817,100000344,1594096277,1003.00,1004.00,0.00,0.00,721.32,721.15,7.63,7.67,14.00,0.00,1,20,67,33,2
6,818,100000344,1594096364,1003.00,1003.00,0.00,0.00,721.61,721.41,8.74,9.03,14.00,0.00,2,15,154,61,2
7,819,100000344,1594096450,1002.00,1003.00,0.00,0.00,693.73,693.56,9.92,9.86,18.00,0.00,3,15,240,61,2
8,820,100000344,1594096565,0.00,0.00,11.99,12.30,0.00,0.00,8.19,8.72,13.00,40.00,1,15,63,16,2
9,821,100000344,1594096666,0.00,0.00,12.81,13.21,0.00,0.00,8.90,9.09,13.00,30.00,2,15,164,60,2
10,822,100000344,1594096765,0.00,0.00,13.00,13.89,0.00,0.00,9.61,10.12,14.00,20.00,3,14,263,56,2
11,823,100000344,1594096823,1003.00,1002.00,0.00,0.00,680.96,680.52,5.36,5.21,10.00,0.00,1,20,43,14,6
12,824,100000344,1594096907,742.00,743.00,0.00,0.00,380.37,380.29,7.29,7.86,10.00,0.00,2,12,126,56,6
13,825,100000344,1594097008,0.00,0.00,8.17,8.56,0.00,0.00,5.50,5.94,10.00,40.00,1,15,48,15,6
14,826,100000344,1594097093,0.00,0.00,7.17,8.51,0.00,0.00,5.44,6.40,10.00,40.00,2,12,133,58,6
15,827,100000344,1594097180,0.00,0.00,7.53,9.01,0.00,0.00,5.35,6.26,10.00,30.00,3,12,220,59,6
16,1273,100000344,1595238105,1003.00,1002.00,0.00,0.00,432.50,432.42,9.15,9.22,10.00,0.00,1,25,73,19,2
17,1274,100000344,1595238191,1003.00,1003.00,0.00,0.00,545.10,544.92,9.04,8.54,10.00,0.00,3,19,159,22,2
18,1398,100000344,1596082400,0.00,0.00,12.61,12.69,0.00,0.00,8.51,8.63,10.00,30.00,1,15,52,19,2
19,1399,100000344,1596082482,0.00,0.00,12.39,12.42,0.00,0.00,7.82,8.21,10.00,30.00,2,16,134,43,2
20,1400,100000344,1596082587,0.00,0.00,9.14,9.22,0.00,0.00,6.43,6.89,10.00,40.00,1,20,96,55,6
21,1401,100000344,1596082658,0.00,0.00,10.85,11.67,0.00,0.00,6.46,7.25,10.00,30.00,2,15,167,39,6
22,1402,100000344,1596082779,0.00,0.00,10.24,9.69,0.00,0.00,4.82,4.27,10.00,30.00,1,16,113,60,5
23,1403,100000344,1596082871,0.00,0.00,11.78,10.25,0.00,0.00,6.01,5.10,10.00,20.00,2,16,205,40,5
24,1467,100000344,1596178165,0.00,0.00,13.22,12.62,0.00,0.00,7.27,6.89,10.00,60.00,1,12,116,87,2
25,1468,100000344,1596178232,0.00,0.00,9.88,10.47,0.00,0.00,6.81,6.85,10.00,50.00,2,12,183,40,2
26,1469,100000344,1596178307,0.00,0.00,10.27,11.16,0.00,0.00,7.00,7.44,10.00,30.00,3,12,257,44,2
27,1470,100000344,1596178381,0.00,0.00,11.47,11.41,0.00,0.00,7.45,7.44,10.00,30.00,4,12,331,42,2
28,1471,100000344,1596178470,0.00,0.00,8.38,8.61,0.00,0.00,6.67,6.06,10.00,60.00,1,12,37,15,6
29,1472,100000344,1596178559,0.00,0.00,8.55,8.48,0.00,0.00,6.67,6.31,10.00,40.00,2,12,125,65,6
30,1533,100000344,1596582867,0.00,0.00,7.74,7.90,0.00,0.00,5.55,5.47,10.00,60.00,1,30,77,31,6
31,1534,100000344,1596582986,0.00,0.00,7.70,8.85,0.00,0.00,5.46,6.23,10.00,50.00,2,25,196,78,6
32,1535,100000344,1596583092,0.00,0.00,8.80,9.60,0.00,0.00,5.89,6.51,10.00,40.00,3,20,303,76,6
33,1536,100000344,1596583196,0.00,0.00,8.65,9.85,0.00,0.00,6.19,6.20,10.00,20.00,4,15,406,75,6
34,1537,100000344,1596583264,0.00,0.00,8.71,10.12,0.00,0.00,6.07,6.52,10.00,20.00,5,10,475,40,6
35,1538,100000344,1596583369,0.00,0.00,12.05,11.88,0.00,0.00,8.14,8.00,15.00,50.00,1,26,98,49,2
36,1539,100000344,1596583457,0.00,0.00,14.19,14.58,0.00,0.00,10.10,10.21,20.00,40.00,2,15,186,52,2
37,1540,100000344,1596583537,0.00,0.00,13.11,12.60,0.00,0.00,9.10,8.97,15.00,30.00,3,15,266,44,2
38,1785,100000344,1598065251,1002.00,1003.00,0.00,0.00,667.88,667.73,5.23,5.05,10.00,0.00,1,20,95,62,2
39,1786,100000344,1598065301,1001.00,1001.00,0.00,0.00,646.12,646.07,7.57,7.31,15.00,0.00,2,20,145,19,2
40,1787,100000344,1598065398,1001.00,1002.00,11.69,12.44,519.64,519.44,10.14,9.78,20.00,0.00,3,20,242,62,2
41,1788,100000344,1598065459,790.00,790.00,0.00,0.00,329.41,329.17,12.08,12.72,25.00,0.00,4,6,304,45,2
42,1913,100000344,1598496325,0.00,0.00,25.54,26.32,0.00,0.00,12.18,11.61,10.00,50.00,1,20,89,40,1
43,2021,100000344,1598946696,0.00,0.00,27.70,27.74,0.00,0.00,11.22,10.83,15.00,60.00,1,25,151,84,1
44,2022,100000344,1598946899,0.00,0.00,27.42,27.82,0.00,0.00,14.96,14.83,15.00,50.00,2,25,355,141,1
45,2303,100000344,1599784048,0.00,0.00,17.72,19.22,0.00,0.00,10.70,11.24,25.00,70.00,1,20,140,93,1
46,2304,100000344,1599784123,0.00,0.00,20.51,20.66,0.00,0.00,13.50,13.28,30.00,60.00,2,15,215,39,1
47,2305,100000344,1599784220,0.00,0.00,25.83,28.89,0.00,0.00,16.99,19.07,35.00,45.00,3,12,312,65,1
